date,output,capital,labor,output_growth,capital_contribution,labor_contribution,tfp_contribution,residual_gap,explained_growth,output_growth_pct,capital_contribution_pct,labor_contribution_pct,tfp_contribution_pct,tfp_index
1999,2593107378849.95,6708922827335.743,171641543.0,0.0046684614231295996,0.010489886511447822,0.0087391660295566,-0.014560591117874822,0.0,0.0046684614231295996,0.46684614231295996,1.0489886511447821,0.87391660295566,-1.4560591117874822,1.1660091029448285
2000,2706891619653.41,6926047019686.534,174018282.0,0.04294405601329032,0.012740331666073246,0.008251267699075271,0.021952456648141806,0.0,0.04294405601329032,4.294405601329032,1.2740331666073246,0.8251267699075271,2.1952456648141805,1.1918888903813347
2001,2744514608947.55,7128665204454.352,176301203.0,0.013803259222822106,0.011533909490333373,0.007820130189599438,-0.005550780457110705,0.0,0.013803259222822106,1.3803259222822106,1.1533909490333374,0.7820130189599438,-0.5550780457110706,1.1852913046364992
2002,2828317315687.06,7283965947974.01,178503484.0,0.03007771473691534,0.008620591359142794,0.007448523755887493,0.01400859962188505,0.0,0.030077714736915336,3.007771473691534,0.8620591359142794,0.7448523755887493,1.400859962188505,1.202012422232955
2003,2860583579801.68,7417722339718.195,180622688.0,0.011343706177228796,0.007278624323049598,0.007081283728965815,-0.003016201874786617,0.0,0.011343706177228796,1.1343706177228796,0.7278624323049598,0.7081283728965815,-0.3016201874786617,1.1983923722567038
2004,3025352182406.08,7596189842584.307,182675143.0,0.05600185574363081,0.009509894929787778,0.0067794850219208055,0.039712475791922226,0.0,0.05600185574363081,5.600185574363081,0.9509894929787778,0.6779485021920806,3.9712475791922226,1.2469411154506556
2005,3122227954632.24,7752014470209.624,184688101.0,0.03151932636304622,0.008122382459909261,0.0065754367515957314,0.016821507151541227,0.0,0.03151932636304622,3.151932636304622,0.8122382459909261,0.6575436751595731,1.6821507151541226,1.268093956891427
2006,3245930273663.85,7945442225682.315,186653106.0,0.03885515316162724,0.009858287235867636,0.006350030551797658,0.022646835373961945,0.0,0.03885515316162724,3.8855153161627243,0.9858287235867637,0.6350030551797659,2.2646835373961944,1.2971399302480668
2007,3442954041279.44,8221671727260.05,188552320.0,0.05892784764856884,0.01367004088722581,0.006074209238141037,0.039183597523201996,0.0,0.05892784764856884,5.892784764856884,1.367004088722581,0.6074209238141037,3.9183597523201996,1.348975458454722
2008,3618344849331.16,8579881799233.816,190367302.0,0.04968686152207269,0.017058630222133785,0.005747907815371889,0.026880323484567013,0.0,0.04968686152207269,4.968686152207269,1.7058630222133786,0.5747907815371889,2.6880323484567015,1.3857281036997908
2009,3613792537201.08,8808653094214.236,192079951.0,-0.0012589121273585135,0.010525762969659526,0.005373793436861973,-0.017158468533880013,0.0,-0.0012589121273585135,-0.12589121273585135,1.0525762969659525,0.5373793436861973,-1.7158468533880014,1.3621539581285982
2010,3885847000000.0,9215386439503.523,193701929.0,0.07258319286523829,0.018055992658611332,0.005045299350874899,0.049481900855752055,0.0,0.07258319286523829,7.258319286523829,1.8055992658611333,0.5045299350874899,4.948190085575206,1.431251362762306
2011,4040287000000.0,9650317117528.348,195284734.0,0.03897475097867442,0.018446500227364028,0.004882883305423746,0.015645367445886647,0.0,0.03897475097867442,3.897475097867442,1.8446500227364029,0.48828833054237464,1.5645367445886647,1.4538199024340313
2012,4117908023572.9,10040706508191.662,196876111.0,0.01902954408448565,0.015862681759435306,0.004869590900293019,-0.0017027285752426752,0.0,0.01902954408448565,1.902954408448565,1.5862681759435306,0.4869590900293019,-0.17027285752426752,1.4513465480660597
2013,4241643857406.86,10462882218457.766,198478299.0,0.0296056231870665,0.01647459449954596,0.0048630698851390266,0.008267958802381514,0.0,0.0296056231870665,2.96056231870665,1.6474594499545958,0.48630698851390264,0.8267958802381514,1.4633959649340045
2014,4263019865108.21,10813968206988.566,200085127.0,0.005026901336165679,0.013201873436315736,0.0048378850664072106,-0.013012857166557267,0.0,0.005026901336165679,0.5026901336165679,1.3201873436315736,0.48378850664072104,-1.3012857166557268,1.444476368246415
2015,4111863267274.73,10980007526546.055,201675532.0,-0.03610152218345064,0.006094988235881261,0.004750330641557809,-0.04694684106088971,0.0,-0.03610152218345064,-3.610152218345064,0.609498823588126,0.4750330641557809,-4.694684106088971,1.3782299623563448
2016,3977162043337.27,11039189477645.02,203218114.0,-0.03330776496385113,0.002150199885953441,0.00457183602297988,-0.040029800872784446,0.0,-0.03330776496385113,-3.3307764963851128,0.2150199885953441,0.45718360229798805,-4.002980087278445,1.3241493311615253
2017,4029774689232.36,11111145530845.137,204703445.0,0.013141955502348424,0.002598834059728006,0.004369479960104172,0.006173641482516246,0.0,0.013141955502348424,1.3141955502348424,0.2598834059728006,0.43694799601041723,0.6173641482516247,1.3323494406246068
2018,4101652440922.3,11201065665625.71,206107261.0,0.017679460868425423,0.003224086427256623,0.004100637428554421,0.010354737012614378,0.0,0.017679460868425423,1.7679460868425423,0.3224086427256623,0.4100637428554421,1.0354737012614377,1.3462172435078117
2019,4151724504286.11,11295261582587.375,207455459.0,0.01213386424489471,0.0033497545237864304,0.003911966076487516,0.004872143644620763,0.0,0.01213386424489471,1.213386424489471,0.334975452378643,0.39119660764875164,0.4872143644620763,1.3527922113827613
2020,4015682506400.87,11357671155498.576,208660842.0,-0.033316469036765994,0.0022040318234829216,0.0034761042582466925,-0.03899660511849561,0.0,-0.033316469036766,-3.3316469036765994,0.22040318234829215,0.3476104258246693,-3.8996605118495613,1.30105328553929
2021,4206933577325.81,11553687425874.523,209550294.0,0.046526693782517725,0.0068445021231781315,0.002552165443299259,0.037130026216040335,0.0,0.046526693782517725,4.6526693782517725,0.6844502123178131,0.2552165443299259,3.7130026216040335,1.3502694731590204
2022,4333843905032.94,11776115813779.47,210306415.0,0.02972087021540304,0.00762750120027107,0.0021610853452337154,0.019932283669898253,0.0,0.02972087021540304,2.972087021540304,0.762750120027107,0.21610853452337153,1.9932283669898254,1.3774534466635313
2023,4474332186893.53,11922388730980.895,211140729.0,0.03190222252045416,0.004937856714688849,0.002375572173448859,0.024588793632316454,0.0,0.03190222252045416,3.190222252045416,0.4937856714688849,0.23755721734488588,2.4588793632316452,1.4117432095126539
