period,period_label,series_id,series_name,value,unit,source,dataset_id,frequency,model_use,concept_note,proxy_used,aggregation,value_variable_code,value_variable_name,series_code,revision_reference
2011,2011,selic_ipca_real_rate,Real rate from Selic and IPCA,0.04846351170511598,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2012,2012,selic_ipca_real_rate,Real rate from Selic and IPCA,0.025432480716915506,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2013,2013,selic_ipca_real_rate,Real rate from Selic and IPCA,0.02140388315885189,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2014,2014,selic_ipca_real_rate,Real rate from Selic and IPCA,0.04180903573612671,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2015,2015,selic_ipca_real_rate,Real rate from Selic and IPCA,0.024332654556526112,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2016,2016,selic_ipca_real_rate,Real rate from Selic and IPCA,0.07330186002345229,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2017,2017,selic_ipca_real_rate,Real rate from Selic and IPCA,0.06927457519828484,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2018,2018,selic_ipca_real_rate,Real rate from Selic and IPCA,0.026388015537673004,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2019,2019,selic_ipca_real_rate,Real rate from Selic and IPCA,0.015663462319704946,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2020,2020,selic_ipca_real_rate,Real rate from Selic and IPCA,-0.01653967512745902,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2021,2021,selic_ipca_real_rate,Real rate from Selic and IPCA,-0.051258377849573766,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2022,2022,selic_ipca_real_rate,Real rate from Selic and IPCA,0.06283205138211345,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2023,2023,selic_ipca_real_rate,Real rate from Selic and IPCA,0.0820139007257048,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
1996,1996,93,Populacao residente,163768.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
1997,1997,93,Populacao residente,166187.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
1998,1998,93,Populacao residente,168606.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
1999,1999,93,Populacao residente,171029.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2000,2000,93,Populacao residente,174696.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2001,2001,93,Populacao residente,177004.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2002,2002,93,Populacao residente,179228.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2003,2003,93,Populacao residente,181378.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2004,2004,93,Populacao residente,183470.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2005,2005,93,Populacao residente,185518.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2006,2006,93,Populacao residente,187535.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2007,2007,93,Populacao residente,189459.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2008,2008,93,Populacao residente,191335.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2009,2009,93,Populacao residente,193174.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2010,2010,93,Populacao residente,194749.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2011,2011,93,Populacao residente,196159.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2012,2012,93,Populacao residente,197671.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2013,2013,93,Populacao residente,199227.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2014,2014,93,Populacao residente,200811.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2015,2015,93,Populacao residente,202404.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2016,2016,93,Populacao residente,203872.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2017,2017,93,Populacao residente,205212.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2018,2018,93,Populacao residente,206529.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2019,2019,93,Populacao residente,207900.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2020,2020,93,Populacao residente,209165.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2021,2021,93,Populacao residente,210104.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2022,2022,93,Populacao residente,210863.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
2023,2023,93,Populacao residente,211695.0,Mil pessoas,IBGE SIDRA,CNA 6784,annual,rck_per_capita_denominator,Annual resident population proxy used to convert aggregate consumption into per-capita terms.,population,annual_official,,,,
1996,1996,93404,Despesa de consumo das familias,103.235,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1997,1997,93404,Despesa de consumo das familias,106.37,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1998,1998,93404,Despesa de consumo das familias,105.6025,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
1999,1999,93404,Despesa de consumo das familias,106.0,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2000,2000,93404,Despesa de consumo das familias,110.2775,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2001,2001,93404,Despesa de consumo das familias,111.1275,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2002,2002,93404,Despesa de consumo das familias,112.5925,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2003,2003,93404,Despesa de consumo das familias,111.97749999999999,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2004,2004,93404,Despesa de consumo das familias,116.37,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2005,2005,93404,Despesa de consumo das familias,121.5175,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2006,2006,93404,Despesa de consumo das familias,127.94,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2007,2007,93404,Despesa de consumo das familias,136.095,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2008,2008,93404,Despesa de consumo das familias,144.895,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
2009,2009,93404,Despesa de consumo das familias,151.35000000000002,Numero-indice,IBGE SIDRA,CNT 1620,annual,rck_real_consumption_proxy,Quarterly household consumption volume index annualized by mean.,,quarterly_to_annual_mean,583,Serie encadeada do indice de volume trimestral (Base: media 1995 = 100),,
